ReviewID,ProductID,CustomerID,Rating,ReviewText,ReviewDate,datasource
REV-000001,PB-00319,CB-00518,3,"Not as described, very disappointed.",2024-09-03,store-b
REV-000002,PROD-A-00198,CUST-A-01685,1,"Excellent value for money, highly recommend!",2025-05-02,store-a
REV-000003,PB-00072,CB-01253,2,Arrived on time and works perfectly.,2025-07-23,store-b
REV-000004,PB-00146,CB-01354,5,"Great product, exactly what I needed!",2024-10-13,store-b
REV-000005,PROD-A-00030,CUST-A-01711,4,Arrived on time and works perfectly.,2024-07-14,store-a
REV-000006,PB-00020,CB-00796,2,"Average product, nothing special.",2024-11-25,store-b
REV-000007,PROD-A-00121,CUST-A-00179,5,"Would not recommend, poor build quality.",2024-09-23,store-a
REV-000008,PB-00047,CB-00962,2,"Not as described, very disappointed.",2024-07-15,store-b
REV-000009,PROD-A-00074,CUST-A-00166,2,Exceeded my expectations in every way.,2025-07-27,store-a
REV-000010,PROD-A-00449,CUST-A-01220,5,Quality could be better for the price.,2024-04-12,store-a
REV-000011,PB-00360,CB-01449,2,Exceeded my expectations in every way.,2024-12-02,store-b
REV-000012,PB-00371,CB-00180,1,"Perfect gift, the recipient loved it!",2025-04-17,store-b
REV-000013,PB-00348,CB-00163,5,Quality could be better for the price.,2024-10-05,store-b
REV-000014,PROD-A-00456,CUST-A-01285,5,Quality could be better for the price.,2024-12-25,store-a
REV-000015,PB-00043,CB-00116,4,"Would not recommend, poor build quality.",2025-08-19,store-b
REV-000016,PB-00121,CB-01088,2,"Not as described, very disappointed.",2025-08-09,store-b
REV-000017,PROD-A-00484,CUST-A-00825,2,"Would not recommend, poor build quality.",2025-01-28,store-a
REV-000018,PROD-A-00014,CUST-A-01940,1,"Great product, exactly what I needed!",2025-05-22,store-a
REV-000019,PB-00148,CB-00081,3,"Would not recommend, poor build quality.",2025-03-19,store-b
REV-000020,PROD-A-00121,CUST-A-00525,5,"Okay for the price, gets the job done.",2025-07-30,store-a
REV-000021,PB-00205,CB-01002,1,Decent product for everyday use.,2025-04-27,store-b
REV-000022,PB-00343,CB-01418,1,Arrived on time and works perfectly.,2024-11-01,store-b
REV-000023,PB-00044,CB-00189,1,Best purchase I've made this year!,2025-05-12,store-b
REV-000024,PROD-A-00362,CUST-A-01892,4,"Perfect gift, the recipient loved it!",2024-01-01,store-a
REV-000025,PROD-A-00064,CUST-A-01627,4,Arrived on time and works perfectly.,2024-01-28,store-a
REV-000026,PB-00218,CB-00017,2,Quality could be better for the price.,2025-11-13,store-b
REV-000027,PROD-A-00478,CUST-A-00233,4,"Broke after two weeks, terrible quality.",2024-04-15,store-a
REV-000028,PB-00376,CB-00278,2,"Excellent value for money, highly recommend!",2024-08-02,store-b
REV-000029,PB-00291,CB-00177,2,Arrived on time and works perfectly.,2024-06-01,store-b
REV-000030,PROD-A-00026,CUST-A-00104,2,Decent product for everyday use.,2025-05-28,store-a
REV-000031,PB-00289,CB-00777,5,Exceeded my expectations in every way.,2025-09-07,store-b
REV-000032,PROD-A-00428,CUST-A-01003,5,"Excellent value for money, highly recommend!",2025-09-04,store-a
REV-000033,PB-00360,CB-00212,4,"Perfect gift, the recipient loved it!",2025-02-28,store-b
REV-000034,PROD-A-00303,CUST-A-01108,3,"Excellent value for money, highly recommend!",2025-04-09,store-a
REV-000035,PB-00395,CB-00388,1,"Perfect gift, the recipient loved it!",2025-05-13,store-b
REV-000036,PROD-A-00073,CUST-A-00074,1,Exceeded my expectations in every way.,2024-05-24,store-a
REV-000037,PROD-A-00010,CUST-A-00185,1,Good but shipping was too slow.,2024-07-27,store-a
REV-000038,PB-00196,CB-00171,4,Arrived on time and works perfectly.,2024-04-21,store-b
REV-000039,PB-00181,CB-00788,3,"Broke after two weeks, terrible quality.",2025-05-15,store-b
REV-000040,PB-00046,CB-01424,4,"Not as described, very disappointed.",2025-10-27,store-b
REV-000041,PROD-A-00439,CUST-A-01732,3,"Excellent value for money, highly recommend!",2024-03-29,store-a
REV-000042,PB-00379,CB-01073,3,"Average product, nothing special.",2024-07-17,store-b
REV-000043,PB-00295,CB-00576,3,"Would not recommend, poor build quality.",2025-11-28,store-b
REV-000044,PROD-A-00490,CUST-A-01535,5,Absolutely love it! Will buy again.,2025-05-31,store-a
REV-000045,PB-00048,CB-00821,3,Absolutely love it! Will buy again.,2025-07-29,store-b
REV-000046,PB-00364,CB-01448,3,"Okay for the price, gets the job done.",2024-03-21,store-b
REV-000047,PROD-A-00281,CUST-A-01383,1,Arrived on time and works perfectly.,2024-05-20,store-a
REV-000048,PROD-A-00369,CUST-A-01904,1,"Not as described, very disappointed.",2025-08-25,store-a
REV-000049,PB-00139,CB-01149,5,Decent product for everyday use.,2025-08-16,store-b
REV-000050,PROD-A-00059,CUST-A-01081,1,Best purchase I've made this year!,2025-08-23,store-a
REV-000051,PROD-A-00123,CUST-A-01310,2,"Excellent value for money, highly recommend!",2024-06-13,store-a
REV-000052,PB-00169,CB-00703,1,Decent product for everyday use.,2025-06-12,store-b
REV-000053,PB-00250,CB-01278,5,Absolutely love it! Will buy again.,2024-03-29,store-b
REV-000054,PB-00220,CB-00616,1,"Average product, nothing special.",2025-04-09,store-b
REV-000055,PB-00163,CB-01271,1,"Great product, exactly what I needed!",2025-04-05,store-b
REV-000056,PB-00267,CB-00305,4,Absolutely love it! Will buy again.,2025-06-29,store-b
REV-000057,PB-00371,CB-00158,4,"Great product, exactly what I needed!",2024-04-22,store-b
REV-000058,PROD-A-00033,CUST-A-00770,2,"Great product, exactly what I needed!",2025-10-14,store-a
REV-000059,PB-00327,CB-00536,5,"Okay for the price, gets the job done.",2024-09-18,store-b
REV-000060,PB-00149,CB-00358,5,"Okay for the price, gets the job done.",2025-11-15,store-b
REV-000061,PROD-A-00090,CUST-A-00143,1,Good but shipping was too slow.,2025-02-01,store-a
REV-000062,PB-00024,CB-01464,1,Arrived on time and works perfectly.,2025-05-08,store-b
REV-000063,PROD-A-00209,CUST-A-01109,5,"Would not recommend, poor build quality.",2024-11-26,store-a
REV-000064,PROD-A-00333,CUST-A-00961,2,"Not as described, very disappointed.",2025-05-12,store-a
REV-000065,PB-00092,CB-00894,5,Absolutely love it! Will buy again.,2025-11-06,store-b
REV-000066,PB-00393,CB-01141,2,Absolutely love it! Will buy again.,2025-12-14,store-b
REV-000067,PROD-A-00099,CUST-A-00434,5,Decent product for everyday use.,2025-10-24,store-a
REV-000068,PROD-A-00315,CUST-A-01318,3,"Average product, nothing special.",2025-10-21,store-a
REV-000069,PROD-A-00440,CUST-A-00392,5,Good but shipping was too slow.,2024-12-27,store-a
REV-000070,PB-00304,CB-01317,2,"Excellent value for money, highly recommend!",2024-12-29,store-b
REV-000071,PB-00316,CB-00463,2,"Average product, nothing special.",2025-11-17,store-b
REV-000072,PROD-A-00150,CUST-A-01703,3,Good but shipping was too slow.,2025-04-02,store-a
REV-000073,PROD-A-00300,CUST-A-00620,4,"Not as described, very disappointed.",2025-12-13,store-a
REV-000074,PROD-A-00097,CUST-A-00983,5,Decent product for everyday use.,2024-03-10,store-a
REV-000075,PROD-A-00286,CUST-A-00593,2,"Great product, exactly what I needed!",2024-10-29,store-a
REV-000076,PB-00097,CB-00859,4,Good but shipping was too slow.,2025-06-21,store-b
